,,,,,,,,,,,,,,,,Normalised abundance,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,C_Norm,,,,,,A_LD,,,,,,B_HD,,,,,,QC,,,
Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Drift time (ms),Chromatographic peak width (min),Identifications,Anova (p),q Value,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,C_Norm_1,C_Norm_2,C_Norm_3,C_Norm_4,C_Norm_5,C_Norm_6,A_LD_1,A_LD_2,A_LD_3,A_LD_4,A_LD_5,A_LD_6,B_HD_1,B_HD_2,B_HD_3,B_HD_4,B_HD_5,B_HD_6,D_QC_1,D_QC_2,D_QC_3,D_QC_4
7.48_324.2173m/z,,324.2172915,1,7.475566667,3.023921378,0.090466667,0,0,0,Infinity,B_HD,C_Norm,100,108.5655015,5.46,0,0,0,0,0,0,0,0,0,0,0,0,109.5568283,104.8706055,114.0579795,116.8896912,103.080003,102.9379015,28.65496675,21.03874369,19.94813987,21.38408833
6.52_470.9610m/z,,470.9609897,1,6.518483333,3.833900319,0.08585,0,0,0,Infinity,B_HD,C_Norm,100 - 4.99,106.0445345,6.79,0,0,0,0,0,0,0,0,0,0,0,0,106.0712125,118.4738674,95.97956261,106.0165425,104.3252829,105.4007391,14.80481086,13.27128883,12.19875305,3.950152253
6.22_205.0767m/z,,205.0767235,1,6.215983333,1.997948053,0.119033333,0,0,0,Infinity,B_HD,A_LD,100 - 6.06,99.89985357,5.06,0,0,0,0,0.366833344,0,0,0,0,0,0,0,94.26586822,93.06219934,104.1743719,104.9973299,101.038977,101.860375,23.53778905,19.47592784,19.71322905,17.48900963
6.22_311.2375m/z,,311.2374758,1,6.223133333,3.13191857,0.099983333,0,0,0,Infinity,B_HD,C_Norm,100,84.57233449,4.87,0,0,0,0,0,0,0,0,0,0,0,0,83.88042816,90.70583186,87.07160644,85.51804522,80.30066882,79.95742644,9.867916644,6.145724008,7.843097789,10.26420579
7.12_163.1476m/z,,163.1475855,1,7.118466667,1.619957881,0.10475,0,0,0,Infinity,B_HD,C_Norm,100,82.88181115,2.12,0,0,0,0,0,0,0,0,0,0,0,0,81.84380422,82.0993269,81.36991589,82.11115506,83.81900195,86.04766289,17.84739836,17.20896251,19.56948604,19.03600402
6.22_309.5817m/z,,309.5817394,1,6.223133333,3.077919974,0.064283333,0,0,0,Infinity,B_HD,C_Norm,100 - 7.67 - 15.3,78.17273637,5.7,0,0,0,0,0,0,0,0,0,0,0,0,84.12859594,82.03124235,79.67370857,73.98097952,75.98851074,73.23338111,4.129161749,1.485743688,6.296670842,2.206105031
5.17_180.4753m/z,,180.475284,1,5.173033333,1.997948053,0.1119,0,0,0,Infinity,B_HD,C_Norm,100,77.31834585,2.29,0,0,0,0,0,0,25.54080468,30.62558766,28.4314261,33.1755445,30.96196577,32.90089682,74.63712544,77.72023192,78.94449563,77.76210108,79.06982057,75.77630045,43.97816874,45.74861773,43.65071638,43.22767432
6.22_274.1213m/z,,274.1213173,1,6.223133333,2.753928398,0.092833333,0,0,0,Infinity,B_HD,C_Norm,100 - 4.46,74.04081043,10.51,0,0,0,0,0,0,0,0,0,0,0,0,66.15004818,84.7513617,81.63614464,74.66458835,70.36247825,66.68024149,5.793309035,4.221472847,5.774103872,1.837813792
7.48_186.0493m/z,,186.0493377,1,7.475566667,1.889950861,0.10475,0,0,0,Infinity,B_HD,C_Norm,100 - 0.152,71.4080629,7.89,0,0,0,0,0,0,0,0,0,0,0,0,77.62830363,67.13323594,69.39327369,77.51043017,63.7921355,72.9909985,9.836993682,11.70339982,7.032150722,10.60575168
8.02_200.0836n,200.0835604,223.0752956,1,8.01845,2.213942437,0.07855,0,0,0,Infinity,B_HD,C_Norm,100 - 2.8,68.90226041,9.17,0,0,0,0,0,0,0,0,0,0.265691028,0,0.140480526,59.33240818,73.8883777,71.90946542,63.25114619,75.35832099,69.67384398,2.423987099,9.387791602,6.320967417,9.572957134
7.11_362.0248n,362.0248478,385.0241765,1,7.111333333,3.725903127,0.1119,0,0,0,Infinity,B_HD,C_Norm,100 - 5.18,67.96114935,20.55,0,0,0,0,0,0,0,0,0,0,0,0,67.97637573,42.27309429,66.72475928,70.90600633,76.93099071,82.95566972,10.66420108,11.30096895,13.93845891,5.799590658
